block_heights,creation_times,volatilites,weighted_prices,block_hash
485743,2017-09-17 14:16:59,0.08316144465227271,3632.42411006,000000000000000000783de329cf57dc8289e35d01ca92d84822538928f5b070
508789,2018-02-12 08:13:29,0.06563252654947739,8749.008896619998,0000000000000000003bd84b989235a304590bc9a127c97a2c2226ee51302258
496791,2017-11-30 03:13:31,0.020023504179267973,10374.192299200002,000000000000000000b6ee89ad37aa6105574f6bd87bc1040ebc25205979b277
480827,2017-08-16 21:56:32,0.034578792184745875,4305.92513038,000000000000000000f2ec20f082f1899a233cdcc71f5b59e1c232b588c9987e
507795,2018-02-05 14:43:43,0.034027041085718274,7383.959224540001,000000000000000000439560715209c1650b10b05e7d85b452227d5cf8a7b1ad
507540,2018-02-04 06:07:20,0.018479218584793483,9279.22079876,000000000000000000343d10a7f247d8a7c6d511a283cb236f4d9774b5ef69dc
485758,2017-09-17 15:37:38,0.030389532080992536,3670.37215854,000000000000000000dd2a6910260bbe770b97f71696ad45e4b0556bcc10f93c
484604,2017-09-11 04:52:11,0.0299644334785166,4187.243469440001,000000000000000000468aaa06a632b001642dc0f1d5ce025ee7d78d5172e1cf
501148,2017-12-26 19:06:25,0.02166791922675879,15804.3151174,00000000000000000069b0363195e1ad5295e008193439c5bac0724c7da9229f
501169,2017-12-26 21:53:45,0.02065491650776369,15887.645683799998,0000000000000000006dc00f8d83b4e330cac2d556cfc672c8b0111149453bbf
497409,2017-12-03 18:26:22,0.01932135344238486,11717.882973,0000000000000000002b3a610aa0f46d3e47df60defea2d77733f63d48f962ba
505552,2018-01-22 16:46:00,0.05360436183818807,10591.994425599998,000000000000000000727cc8ffe94e2fae53055e7e71be7ed16ef7d9195a2c5f
488077,2017-10-03 06:50:26,0.022334954291807468,4294.14301488,00000000000000000046c8d7091174fcb0ddc8575d2688178114a634a486dd1c
483380,2017-09-04 00:36:48,0.043770388823428236,4568.95260508,00000000000000000066fd5d0657a2a7dd6a02fe9533ad39b3ef2cddaf3385e2
503106,2018-01-08 03:22:39,0.022952100617930616,15619.2149284,0000000000000000005d2189c58972d1a40d0ca106c17b1f5db1bafbb3c8ff84
512236,2018-03-06 08:03:35,0.02454334090582251,11288.911832,0000000000000000004b2395f04655aed21be432cbeea11f826190d9fd8b87b2
476810,2017-07-21 06:16:45,0.018563735084997045,2786.7019952,0000000000000000013f5dc0cea98a648d89ad999a26b8929e6292eac5d3595b
511893,2018-03-04 02:20:18,0.02008741275444608,11315.2350714,00000000000000000053ee3bea013e246eef1dc9caa97476f5fbc7685e3ec1c8
491492,2017-10-24 13:31:18,0.020642673128055483,5635.7837039999995,0000000000000000006d859f0264e542a24d86755a4379d0621e73acdf2cd1e1
503739,2018-01-11 19:26:13,0.03416147237465654,13707.2772252,0000000000000000000a599d96ea3b4ca9fc77659d9ebdc8ae91b2950cac801a
512867,2018-03-10 09:35:28,0.03559299493154052,9292.012763,0000000000000000003074692e8b5af528bb36ff79b9e0dba9277f4329897a22
499126,2017-12-13 20:10:58,0.02279342622455087,16224.767733199995,0000000000000000003f0f608200a03cd2bed841b4a007d6996a87e61331cdbc
486456,2017-09-22 09:10:03,0.029182793129479318,3639.6681553000003,0000000000000000007520556d6ff65f3c21fa3b3d9ec47a81967670ad9e56bf
507258,2018-02-02 11:40:49,0.0223255623520536,7948.48279608,0000000000000000000e2840d9c77bf31208eaae13a5d5117bad31557a05c953
491231,2017-10-23 01:31:48,0.019521035898663084,5986.22569428,000000000000000000ac0584c77123eb763a476b28bacfb51de16e373516f2b1
477336,2017-07-24 11:05:33,0.04815810594521256,2765.64765618,000000000000000000c10414ae23b4468770a41f8b6f9bbe2cd5f97a60091c85
508085,2018-02-07 10:10:09,0.03857352321976807,8124.45453368,0000000000000000001830299e8c9dfd61ffe98a2375b1b9460856778f1d569d
486748,2017-09-24 07:54:12,0.05882744042918275,3662.67844288,000000000000000000f1ffbaed1b3e8a327cdbbbc23b83b0be8f488008997d97
504626,2018-01-17 07:18:46,0.04285873811549383,11264.64295,00000000000000000034b9658c374714faba4812b3b169319964d35794c34269
483740,2017-09-05 22:51:47,0.026308335067368058,4444.21430716,00000000000000000090c9d5eb8932d0e4d0e2331ed294fd4d0ba10de294f294
495743,2017-11-23 14:11:43,0.03939762261313135,8167.04882844,000000000000000000572bd46cae352552f5a49144e7631bab89b57c9c832006
494151,2017-11-13 05:35:34,0.07065371555563467,6202.44132348,00000000000000000063379195d7d17261d161b15721797046923a2c93459e14
508356,2018-02-09 09:54:58,0.024223764348024115,8258.52866114,000000000000000000426e41cf3d9a38b4fad7a33857ee257e904dc3b4eaf00d
501684,2017-12-30 06:44:54,0.040390984576053085,13487.370403000004,0000000000000000004cc586a7f5552462b64eaabac2794ad5b7522bb062b998
483298,2017-09-03 12:58:17,0.04121708520562401,4573.01679862,000000000000000000358d4e224d2d2d8fb69a6b7345f2d80aed0bc1f59b4080
482316,2017-08-28 05:37:47,0.03307247454168058,4212.88947846,00000000000000000068438ba6979bf5503bab4e6a932abcef2d1aa4f7d0c238
483651,2017-09-05 12:53:55,0.03528532795172696,4263.1846606,000000000000000000dc8a158fbe76f1f63f2a689c1f4943beb70975804ad638
488176,2017-10-03 20:11:15,0.020710136078317846,4266.14786224,0000000000000000009428ccb9811c65552a85c8a53e7770dad7d3cc0f5ad8a5
492835,2017-11-02 20:10:14,0.04585880475074657,7044.34403842,000000000000000000a3bf41ea8795e496fcfd1288179b6df0e5b17e329fa250
495473,2017-11-21 19:47:06,0.06786079311949586,8077.807134099999,000000000000000000695918ba7e12f4308e808b1b0b9b368c10c2d8a69c54e7
502273,2018-01-02 21:19:54,0.04684873152196648,14857.585684799995,0000000000000000001d3fdc9f9795fabd2f6834ed384d53cfa89b88a9144ac0
504647,2018-01-17 10:18:02,0.029162278174352844,10305.7033638,00000000000000000034820d9e9d773f0fb54a001330b4bcc415316198bf0083
485144,2017-09-14 02:13:46,0.03680997874717947,3884.34999708,00000000000000000118a88c5e3c6616face82dcc42befd14d4d94d0dccc308f
497771,2017-12-05 18:03:27,0.01909274060635216,11694.0715288,000000000000000000345ebec91bf7c2476445d9fc2e0e7d31cc64acb28bf51b
494177,2017-11-13 10:14:33,0.02137667888959181,6415.52980978,0000000000000000004bcb5928ddc433eb1680d14844c29ac664409b14c61d0a
480650,2017-08-15 13:44:52,0.018685794183113,3993.49172794,000000000000000000c39265bd77b8a60198ac8fe9a69980bc779e27cebce884
485243,2017-09-14 17:20:36,0.04333316158500475,3367.30303688,000000000000000000a54cdf8f9045c2b13a762d7a39119ac0885bd4aa5073e1
474658,2017-07-07 16:28:39,0.0191574094545508,2522.77735382,0000000000000000009bdb059ae1918989ceb1c17101362a0db9f3325fe960a2
481392,2017-08-20 12:09:20,0.03685855764767687,4026.93809352,0000000000000000007c6957be61f4e5a80b100861a592dda0b3039a780bcedb
502079,2018-01-01 18:31:51,0.029160793675105493,13253.0113236,00000000000000000070a9b4b9bc7def1870964ec351b9ba9b48cf4e66906576
480135,2017-08-11 22:14:17,0.019927821320136624,3603.866890259999,000000000000000000756489a684a5a542db582a6b2cdd14ee4ea9836758771e
501968,2018-01-01 01:02:03,0.02183562927680047,13635.504976600001,00000000000000000090c2f34f2fb7442598bba14e60ab0c758ca152b75d5dce
488029,2017-10-03 01:09:16,0.024807178497571664,4379.70544384,0000000000000000008b3febd11dec9923e9318a2373ffed7c530e663cdcf616
496196,2017-11-26 13:16:59,0.02042403595600404,8941.9120932,0000000000000000001b19fa8e5a2ed84b11c962218c3b83323803ef370ee2ce
503156,2018-01-08 10:28:35,0.02295872393162161,15289.839633399999,00000000000000000008a484319cd8d01c3d14f7440eb289833f9a2151d92478
501479,2017-12-28 22:48:34,0.0471239570671916,14178.266381200001,000000000000000000564b1b29e3c170939c761f622c4c7a463c9e3ade16bffb
